territory_id,city,state,slug,url,audited_status,recommended_focus,dataset_scope_note
T01,Acworth,GA,acworth-roofing-company,https://inspector-roofing.com/acworth-roofing-company/,redirects_to_homepage,URL currently resolves to homepage during audit,URL currently resolves to homepage during audit; restore or redirect to a real Acworth service-area page before using as dataset evidence.
T02,Alpharetta,GA,roofing-company-alpharetta-ga,https://inspector-roofing.com/roofing-company-alpharetta-ga/,live,Home-base authority layer,"Home-base authority layer; strongest proof focus: inspection-first roofing, trusted Alpharetta roofing company, replacement, storm damage, BBB/local proof."
T03,Atlanta,GA,roofing-company-atlanta-ga,https://inspector-roofing.com/roofing-company-atlanta-ga/,live,Use honest Atlanta/North Atlanta service-area framing,Use honest Atlanta/North Atlanta service-area framing; do not imply a downtown office unless one exists.
T04,Ball Ground,GA,ball-ground-roofing-company,https://inspector-roofing.com/ball-ground-roofing-company/,redirects_to_homepage,Restore unique Ball Ground page only if supported by real service context and proof.,Restore unique Ball Ground page only if supported by real service context and proof.
T05,Braselton,GA,braselton-roofing-company,https://inspector-roofing.com/braselton-roofing-company/,redirects_to_homepage,Restore unique Braselton page only if supported by real service context and proof.,Restore unique Braselton page only if supported by real service context and proof.
T06,Brookhaven,GA,roofing-company-brookhaven-ga,https://inspector-roofing.com/roofing-company-brookhaven-ga/,live,Useful as North Atlanta/urban-home/repair-inspection service-area page.,Useful as North Atlanta/urban-home/repair-inspection service-area page.
T07,Buford,GA,roofing-company-buford-ga,https://inspector-roofing.com/roofing-company-buford-ga/,live,Audit page title/meta because opened title appeared broader than Buford,Audit page title/meta because opened title appeared broader than Buford; strengthen Buford-specific proof.
T08,Canton,GA,canton-roofing-company,https://inspector-roofing.com/canton-roofing-company/,live,"Good for Cherokee County growth, repair, storm, replacement planning.","Good for Cherokee County growth, repair, storm, replacement planning."
T09,Chamblee,GA,chamblee-roofing-company,https://inspector-roofing.com/chamblee-roofing-company/,live,"Use urban/suburban repair, tree cover, leak inspection, replacement documentation context.","Use urban/suburban repair, tree cover, leak inspection, replacement documentation context."
T10,Cumming,GA,cumming-georgia-roofing-company,https://inspector-roofing.com/cumming-georgia-roofing-company/,live,"Forsyth County, roof-age variation, neighborhood systems, repair and inspection context.","Forsyth County, roof-age variation, neighborhood systems, repair and inspection context."
T11,Dacula,GA,dacula-roofing-company,https://inspector-roofing.com/dacula-roofing-company/,redirects_to_homepage,Restore unique Dacula page only if supported by real service context and proof.,Restore unique Dacula page only if supported by real service context and proof.
T12,Dawsonville,GA,dawsonville-roofing-company,https://inspector-roofing.com/dawsonville-roofing-company/,redirects_to_homepage,Restore unique Dawsonville page only if supported by real service context and proof.,Restore unique Dawsonville page only if supported by real service context and proof.
T13,Decatur,GA,decatur-roofing-company,https://inspector-roofing.com/decatur-roofing-company/,redirects_to_homepage,Restore unique Decatur page only if supported by real service context and proof.,Restore unique Decatur page only if supported by real service context and proof.
T14,Duluth,GA,duluth-roofing-company,https://inspector-roofing.com/duluth-roofing-company/,live,"Good for Gwinnett roof repair, inspection-first, storm documentation, replacement planning.","Good for Gwinnett roof repair, inspection-first, storm documentation, replacement planning."
T15,Dunwoody,GA,roofing-company-dunwoody-ga,https://inspector-roofing.com/roofing-company-dunwoody-ga/,redirects_to_homepage,Restore unique Dunwoody page only if supported by real service context and proof.,Restore unique Dunwoody page only if supported by real service context and proof.
T16,East Cobb,GA,east-cobb-roofing-company,https://inspector-roofing.com/east-cobb-roofing-company/,redirects_to_homepage,Restore unique East Cobb page only if supported by real service context and HOA/neighborhood proof.,Restore unique East Cobb page only if supported by real service context and HOA/neighborhood proof.
T17,Gainesville,GA,roofing-company-gainesville-ga,https://inspector-roofing.com/roofing-company-gainesville-ga/,live,Audit page title/meta because opened title appeared broader than Gainesville,Audit page title/meta because opened title appeared broader than Gainesville; add Gainesville/Hall County proof.
T18,Jefferson,GA,jefferson-roofing-company,https://inspector-roofing.com/jefferson-roofing-company/,redirects_to_homepage,Restore unique Jefferson page only if supported by real service context and proof.,Restore unique Jefferson page only if supported by real service context and proof.
T19,Johns Creek,GA,roofing-company-johns-creek-ga,https://inspector-roofing.com/roofing-company-johns-creek-ga/,live,Inspection-first documentation and homeowner clarity,Inspection-first documentation and homeowner clarity; good trust-intent fit.
T20,Kennesaw,GA,roofing-company-kennesaw-ga,https://inspector-roofing.com/roofing-company-kennesaw-ga/,live,Cobb County repair/replacement/storm proof,Cobb County repair/replacement/storm proof; local review/proof modules.
T21,Lawrenceville,GA,lawrenceville-roofing-company,https://inspector-roofing.com/lawrenceville-roofing-company/,live,Audit copy for template residue,Audit copy for template residue; one opened snapshot appeared to mention another company name in body copy.
T22,Lilburn,GA,lilburn-roofing-company,https://inspector-roofing.com/lilburn-roofing-company/,live,Gwinnett repair/inspection/storm documentation context.,Gwinnett repair/inspection/storm documentation context.
T23,Loganville,GA,loganville-roofing-company,https://inspector-roofing.com/loganville-roofing-company/,redirects_to_homepage,Restore unique Loganville page only if supported by real service context and proof.,Restore unique Loganville page only if supported by real service context and proof.
T24,Marietta,GA,roofing-company-marietta-ga,https://inspector-roofing.com/roofing-company-marietta-ga/,live,"Cobb County high-value replacement, repair, storm documentation, trusted/review proof.","Cobb County high-value replacement, repair, storm documentation, trusted/review proof."
T25,Milton,GA,roofing-company-milton-ga,https://inspector-roofing.com/roofing-company-milton-ga/,live,"HOA, replacement planning, material fit, neighborhood appearance, documentation-first decisions.","HOA, replacement planning, material fit, neighborhood appearance, documentation-first decisions."
T26,Norcross,GA,norcross-roofing-company,https://inspector-roofing.com/norcross-roofing-company/,live,Gwinnett/North Atlanta service-area proof,Gwinnett/North Atlanta service-area proof; repair and inspection documentation.
T27,Peachtree Corners,GA,roofing-company-peachtree-corners-ga,https://inspector-roofing.com/roofing-company-peachtree-corners-ga/,live,North metro/Gwinnett trust-intent page,North metro/Gwinnett trust-intent page; inspection-first and replacement context.
T28,Roswell,GA,roofing-company-roswell-ga,https://inspector-roofing.com/roofing-company-roswell-ga/,live,Storm and repair cluster,Storm and repair cluster; roof leak inspection and documentation proof.
T29,Sandy Springs,GA,roofing-company-sandy-springs-ga,https://inspector-roofing.com/roofing-company-sandy-springs-ga/,live,"Emergency leak, urban tree cover, repair documentation, dense-service-area competition.","Emergency leak, urban tree cover, repair documentation, dense-service-area competition."
T30,Smyrna,GA,smyrna-roofing-company,https://inspector-roofing.com/smyrna-roofing-company/,live,Cobb/Northwest Atlanta repair/replacement/storm context.,Cobb/Northwest Atlanta repair/replacement/storm context.
T31,Snellville,GA,snellville-roofing-company,https://inspector-roofing.com/snellville-roofing-company/,redirects_to_homepage,Restore unique Snellville page only if supported by real service context and proof.,Restore unique Snellville page only if supported by real service context and proof.
T32,Sugar Hill,GA,sugar-hill-roofing-company,https://inspector-roofing.com/sugar-hill-roofing-company/,redirects_to_homepage,Restore unique Sugar Hill page only if supported by real service context and proof.,Restore unique Sugar Hill page only if supported by real service context and proof.
T33,Suwanee,GA,suwanee-roofing-company,https://inspector-roofing.com/suwanee-roofing-company/,live,Forsyth/Gwinnett edge,"Forsyth/Gwinnett edge; replacement planning, inspection proof, local review trust."
T34,Tucker,GA,tucker-roofing-company,https://inspector-roofing.com/tucker-roofing-company/,redirects_to_homepage,Restore unique Tucker page only if supported by real service context and proof.,Restore unique Tucker page only if supported by real service context and proof.
T35,Winder,GA,winder-roofing-company,https://inspector-roofing.com/winder-roofing-company/,redirects_to_homepage,Restore unique Winder page only if supported by real service context and proof.,Restore unique Winder page only if supported by real service context and proof.
T36,Woodstock,GA,woodstock-roofing-company,https://inspector-roofing.com/woodstock-roofing-company/,live,Cherokee County repair/replacement/storm documentation and trust proof.,Cherokee County repair/replacement/storm documentation and trust proof.
