template_id,query_template,modifier_family,intent_class,priority,old_google_interpretation,today_google_interpretation,algorithm_era_fit,recommended_page_role,page_creation_recommendation,primary_trust_signal,territory_count
Q001,best roofing company in {city},best_top,comparison_hiring,high,organic/local pack/GBP,AI Overviews/AI Mode answer citation/local recommendations,old comparison query; current use should be hub/module language backed by proof,trust hub plus GBP/reviews; city page FAQ mention,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,"reviews, GBP completeness, proof photos, citations",36
Q002,best roofers in {city},best_top,comparison_hiring,high,organic/local pack/GBP,AI Overviews/AI Mode answer citation/local recommendations,old comparison query; current use should be hub/module language backed by proof,trust hub plus GBP/reviews; city page FAQ mention,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,"reviews, local proof, consistent entity data",36
Q003,best roofing contractors in {city},best_top,comparison_hiring,high,organic/local pack/GBP,AI answer engine / query fan-out,old comparison query; current use should be hub/module language backed by proof,trust hub plus service pages,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,"licensing, insurance, manufacturer certifications, review proof",36
Q004,top rated roofers in {city},best_top,reviews_comparison,high,GBP/local pack/reviews,AI local recommendations / summarization,old comparison query; current use should be hub/module language backed by proof,reviews/reputation hub plus GBP,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,"review quantity, rating, review response quality",36
Q005,top roofing companies in {city},best_top,comparison_hiring,medium,organic/local pack,AI Mode comparisons,old comparison query; current use should be hub/module language backed by proof,trust hub and city FAQ,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,proof modules and third-party citations,36
Q006,top 10 roofers in {city},best_top,comparison_research,medium,organic/research,AI answer comparison queries,old comparison query; current use should be hub/module language backed by proof,blog/research note or FAQ,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,transparent criteria and citations,36
Q007,who is the best roofer in {city},best_top,voice_search_comparison,medium,voice/local search,AI conversational answer,old comparison query; current use should be hub/module language backed by proof,FAQ on trust hub and city pages,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,clear criteria and proof,36
Q008,best roofing company in {city},best_top,city_comparison,high,organic city SERP,AI local answer / query fan-out,old comparison query; current use should be hub/module language backed by proof,city page trust section plus master hub,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,"city-specific proof, photos, reviews",36
Q009,top roofing company in {city},best_top,city_comparison,medium,organic city SERP,AI local answer / query fan-out,old comparison query; current use should be hub/module language backed by proof,city page trust section plus master hub,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,city proof and profile agreement,36
Q010,top rated roofers in {city},best_top,city_reviews_comparison,high,local pack/reviews,AI local answer / Maps-adjacent recommendations,old comparison query; current use should be hub/module language backed by proof,city page review/proof section,Use on a master best/top/trusted hub plus city page trust FAQ; avoid a separate thin best/top page unless unique city proof exists.,reviews and responses,36
Q011,trusted roofing company in {city},trusted,trust_hiring,high,organic/local pack,AI answer trusted-provider queries,current trust-intent query; strongest fit for entity proof and answer readiness,trusted roofing hub plus city page proof module,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",entity consistency and documentation,36
Q012,trusted roofers in {city},trusted,trust_hiring,high,organic/local pack,AI answer trusted-provider queries,current trust-intent query; strongest fit for entity proof and answer readiness,trusted roofing hub plus GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","reviews, proof photos, certifications",36
Q013,trusted roofing contractors in {city},trusted,trust_hiring,high,organic/local pack,AI answer trusted-provider queries,current trust-intent query; strongest fit for entity proof and answer readiness,trusted roofing hub plus service pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","licensing, insurance, BBB, reviews",36
Q014,trusted local roofing company {city},trusted,trust_hiring,high,organic/homepage,AI summaries/entity resolution,current trust-intent query; strongest fit for entity proof and answer readiness,homepage trust section and trust hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",source spine and local proof,36
Q015,trusted roof repair in {city},trusted,repair_trust,high,organic/local pack,AI answer leak/repair queries,current trust-intent query; strongest fit for entity proof and answer readiness,roof repair page and emergency page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","inspection-first process, photos, reviews",36
Q016,trusted roof replacement company in {city},trusted,replacement_trust,high,organic/local pack,AI commercial comparison,current trust-intent query; strongest fit for entity proof and answer readiness,roof replacement page and trust hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",replacement documentation and material guidance,36
Q017,trusted storm damage roofer {city},trusted,storm_trust,high,organic/storm intent,AI storm damage answer,current trust-intent query; strongest fit for entity proof and answer readiness,storm damage page and insurance-adjacent FAQ,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",storm documentation and claim-verifiability,36
Q018,trusted hail damage roofing contractor {city},trusted,hail_trust,high,organic/storm intent,AI storm damage answer,current trust-intent query; strongest fit for entity proof and answer readiness,hail damage inspection page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","photo documentation, negative evidence",36
Q019,trusted insurance claim roofer {city},trusted,insurance_adjacent,medium,organic/claim research,AI insurance-adjacent answers,current trust-intent query; strongest fit for entity proof and answer readiness,insurance documentation FAQ,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",claim-ready roof file and boundaries,36
Q020,reputable roofing contractors in {city},reputable,trust_hiring,high,organic/local pack,AI trusted-provider queries,"current reputation query; support with reviews, profiles, press, and documented process",trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",third-party citations and reviews,36
Q021,reputable roofers in {city},reputable,trust_hiring,high,organic/local pack,AI trusted-provider queries,"current reputation query; support with reviews, profiles, press, and documented process",trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and entity agreement,36
Q022,reputable roofing company in {city},reputable,trust_hiring,high,organic/local pack,AI trusted-provider queries,"current reputation query; support with reviews, profiles, press, and documented process",trusted/reputable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","business identity, BBB, reviews",36
Q023,reputable roof repair company in {city},reputable,repair_trust,medium,organic/local pack,AI repair answer,"current reputation query; support with reviews, profiles, press, and documented process",roof repair page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",inspection and repair documentation,36
Q024,reputable roof replacement company in {city},reputable,replacement_trust,medium,organic/local pack,AI replacement comparison,"current reputation query; support with reviews, profiles, press, and documented process",roof replacement page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",replacement documentation,36
Q025,reliable roofing company in {city},reliable,trust_hiring,medium,organic/local pack,AI local recommendation,"mixed intent; route through service page, FAQ, or trust hub",trusted/reliable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.","response clarity, reviews, photos",36
Q026,reliable roofers in {city},reliable,trust_hiring,medium,organic/local pack,AI local recommendation,"mixed intent; route through service page, FAQ, or trust hub",trusted/reliable hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and business consistency,36
Q027,reliable roofing contractors in {city},reliable,trust_hiring,medium,organic/local pack,AI local recommendation,"mixed intent; route through service page, FAQ, or trust hub",service and trust pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",credentials and proof,36
Q028,reliable roof repair in {city},reliable,repair_trust,medium,organic/local pack,AI repair answer,"mixed intent; route through service page, FAQ, or trust hub",roof repair page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",timely documentation and repair clarity,36
Q029,reliable roof replacement company {city},reliable,replacement_trust,medium,organic,AI replacement comparison,"mixed intent; route through service page, FAQ, or trust hub",roof replacement page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",process and warranty/manufacturer proof,36
Q030,recommended roofers in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and social proof,36
Q031,recommended roofing company in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and third-party proof,36
Q032,recommended roofing contractors in {city},recommended,review_recommendation,medium,reviews/local,AI recommendation answer,"mixed intent; route through service page, FAQ, or trust hub",reviews hub and service pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",reviews and proof,36
Q033,best reviewed roofers in {city},reviewed,reviews_comparison,medium,reviews/local,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",rating/review content,36
Q034,best reviewed roofing company in {city},reviewed,reviews_comparison,medium,reviews/local,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",rating/review content,36
Q035,5 star roofers in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and count,36
Q036,5 star roofing company in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub and GBP,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and count,36
Q037,highly rated roofers in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and sentiment,36
Q038,highly rated roofing contractors in {city},reviewed,reviews_comparison,medium,GBP/reviews,AI review synthesis,local prominence query; support with review corpus and response quality,reviews hub,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review score and sentiment,36
Q039,BBB accredited roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB profile/accreditation,36
Q040,BBB accredited roofing contractors in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB profile/accreditation,36
Q041,Better Business Bureau roofers {city},credential,trust_research,medium,organic/research,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",BBB external identity,36
Q042,licensed roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",license/registration context,36
Q043,licensed roofing contractors in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",license/registration context,36
Q044,licensed and insured roofers in {city},credential,trust_verification,high,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",insurance certificate/process,36
Q045,insured roofing contractors in {city},credential,trust_verification,medium,organic/local trust,AI trust verification,"verification query; support only with true licensing, insurance, BBB, or manufacturer facts",credential/trust section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",insurance proof,36
Q046,certified roofing company in {city},certified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",manufacturer certification,36
Q047,certified roofers in {city},certified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",manufacturer certification,36
Q048,GAF certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",GAF certification,36
Q049,Owens Corning certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",Owens Corning certification,36
Q050,CertainTeed certified roofers in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",CertainTeed certification,36
Q051,Master Elite roofing contractor in {city},certified,manufacturer_trust,medium,organic/manufacturer trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",manufacturer certification section,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",Master Elite certification,36
Q052,verified roofing contractors in {city},verified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",trusted contractor checklist,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",verification criteria,36
Q053,vetted roofers in {city},verified,trust_verification,medium,organic/local trust,AI trust verification,"mixed intent; route through service page, FAQ, or trust hub",trusted contractor checklist,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",criteria and citations,36
Q054,professional roofers in {city},professional,trust_hiring,medium,organic/local,AI local answer,"mixed intent; route through service page, FAQ, or trust hub",service pages,Support phrase.,"photos, reviews, NAP consistency",36
Q055,honest roofing company in {city},trusted,trust_hiring,medium,organic/local,AI trust-intent answer,current trust-intent query; strongest fit for entity proof and answer readiness,trust philosophy page,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",process transparency,36
Q056,local roofing company with good reviews {city},reviewed,review_research,medium,organic/reviews,AI conversational answer,local prominence query; support with review corpus and response quality,reviews hub and city pages,"Use as trust module, FAQ, review section, credential section, or city-page proof block if substantiated.",review proof,36
